event_name,user_id,event_time,Marax Segment name,Sub Category First Preference,Sub Category Second Preference,Days since First billed,Days since Last billed,Churn risk,Total lifetime spend,Current wallet balance,Last recharge amount,Number of orders in past 30 days,Number of Active Subscriptions
MARAX SEGMENT,080f7409-e3e2-419e-9d03-6d6e86bb9deb,2019-01-23 23:23:21,flat_cashback,Milk,,7,0,7.19620659947,129.5,583.5,0.0,7,1.0
MARAX SEGMENT,080f7409-e3e2-419e-9d03-6d6e86bb9deb,2019-01-23 23:23:21,flash_sale,Milk,,7,0,7.19620659947,129.5,583.5,0.0,7,1.0
MARAX SEGMENT,080f7409-e3e2-419e-9d03-6d6e86bb9deb,2019-01-23 23:23:21,product_nodiscount_value,Milk,,7,0,7.19620659947,129.5,583.5,0.0,7,1.0
MARAX SEGMENT,080f7409-e3e2-419e-9d03-6d6e86bb9deb,2019-01-23 23:23:21,productgroup_discount,Milk,,7,0,7.19620659947,129.5,583.5,0.0,7,1.0
MARAX SEGMENT,080f7409-e3e2-419e-9d03-6d6e86bb9deb,2019-01-23 23:23:21,percentage_cashback,Milk,,7,0,7.19620659947,129.5,583.5,0.0,7,1.0
MARAX SEGMENT,080f7409-e3e2-419e-9d03-6d6e86bb9deb,2019-01-23 23:23:21,product_discount_value,Milk,,7,0,7.19620659947,129.5,583.5,0.0,7,1.0
MARAX SEGMENT,080f7409-e3e2-419e-9d03-6d6e86bb9deb,2019-01-23 23:23:21,product_discount,Milk,,7,0,7.19620659947,129.5,583.5,0.0,7,1.0
MARAX SEGMENT,080f7409-e3e2-419e-9d03-6d6e86bb9deb,2019-01-23 23:23:21,product_nodiscount,Milk,,7,0,7.19620659947,129.5,583.5,0.0,7,1.0
MARAX SEGMENT,080f7409-e3e2-419e-9d03-6d6e86bb9deb,2019-01-23 23:23:21,product_discount_value_brand,Milk,,7,0,7.19620659947,129.5,583.5,0.0,7,1.0
MARAX SEGMENT,9f55f456-3feb-4c18-beb4-505eb1db3d49,2019-01-23 23:23:21,flat_cashback,Vegetables,Milk,7,4,60.265791416199995,128.0,544.0,500.0,2,0.0
MARAX SEGMENT,9f55f456-3feb-4c18-beb4-505eb1db3d49,2019-01-23 23:23:21,flash_sale,Vegetables,Milk,7,4,60.265791416199995,128.0,544.0,500.0,2,0.0
MARAX SEGMENT,9f55f456-3feb-4c18-beb4-505eb1db3d49,2019-01-23 23:23:21,product_nodiscount_value,Vegetables,Milk,7,4,60.265791416199995,128.0,544.0,500.0,2,0.0
MARAX SEGMENT,9f55f456-3feb-4c18-beb4-505eb1db3d49,2019-01-23 23:23:21,productgroup_discount,Vegetables,Milk,7,4,60.265791416199995,128.0,544.0,500.0,2,0.0
MARAX SEGMENT,9f55f456-3feb-4c18-beb4-505eb1db3d49,2019-01-23 23:23:21,percentage_cashback,Vegetables,Milk,7,4,60.265791416199995,128.0,544.0,500.0,2,0.0
MARAX SEGMENT,9f55f456-3feb-4c18-beb4-505eb1db3d49,2019-01-23 23:23:21,product_discount_value,Vegetables,Milk,7,4,60.265791416199995,128.0,544.0,500.0,2,0.0
MARAX SEGMENT,9f55f456-3feb-4c18-beb4-505eb1db3d49,2019-01-23 23:23:21,product_discount,Vegetables,Milk,7,4,60.265791416199995,128.0,544.0,500.0,2,0.0
MARAX SEGMENT,9f55f456-3feb-4c18-beb4-505eb1db3d49,2019-01-23 23:23:21,product_nodiscount,Vegetables,Milk,7,4,60.265791416199995,128.0,544.0,500.0,2,0.0
MARAX SEGMENT,9f55f456-3feb-4c18-beb4-505eb1db3d49,2019-01-23 23:23:21,product_discount_value_brand,Vegetables,Milk,7,4,60.265791416199995,128.0,544.0,500.0,2,0.0
MARAX SEGMENT,080f7409-e3e2-419e-9d03-6d6e86bb9deb,2019-01-23 23:23:21,flat_cashback,Milk,,7,0,7.19620659947,129.5,583.5,0.0,7,1.0
MARAX SEGMENT,080f7409-e3e2-419e-9d03-6d6e86bb9deb,2019-01-23 23:23:21,flash_sale,Milk,,7,0,7.19620659947,129.5,583.5,0.0,7,1.0
MARAX SEGMENT,080f7409-e3e2-419e-9d03-6d6e86bb9deb,2019-01-23 23:23:21,product_nodiscount_value,Milk,,7,0,7.19620659947,129.5,583.5,0.0,7,1.0
MARAX SEGMENT,080f7409-e3e2-419e-9d03-6d6e86bb9deb,2019-01-23 23:23:21,productgroup_discount,Milk,,7,0,7.19620659947,129.5,583.5,0.0,7,1.0
MARAX SEGMENT,080f7409-e3e2-419e-9d03-6d6e86bb9deb,2019-01-23 23:23:21,percentage_cashback,Milk,,7,0,7.19620659947,129.5,583.5,0.0,7,1.0
MARAX SEGMENT,080f7409-e3e2-419e-9d03-6d6e86bb9deb,2019-01-23 23:23:21,product_discount_value,Milk,,7,0,7.19620659947,129.5,583.5,0.0,7,1.0
MARAX SEGMENT,080f7409-e3e2-419e-9d03-6d6e86bb9deb,2019-01-23 23:23:21,product_discount,Milk,,7,0,7.19620659947,129.5,583.5,0.0,7,1.0
MARAX SEGMENT,080f7409-e3e2-419e-9d03-6d6e86bb9deb,2019-01-23 23:23:21,product_nodiscount,Milk,,7,0,7.19620659947,129.5,583.5,0.0,7,1.0
MARAX SEGMENT,080f7409-e3e2-419e-9d03-6d6e86bb9deb,2019-01-23 23:23:21,product_discount_value_brand,Milk,,7,0,7.19620659947,129.5,583.5,0.0,7,1.0
MARAX SEGMENT,9f55f456-3feb-4c18-beb4-505eb1db3d49,2019-01-23 23:23:21,flat_cashback,Vegetables,Milk,7,4,60.265791416199995,128.0,544.0,500.0,2,0.0
MARAX SEGMENT,9f55f456-3feb-4c18-beb4-505eb1db3d49,2019-01-23 23:23:21,flash_sale,Vegetables,Milk,7,4,60.265791416199995,128.0,544.0,500.0,2,0.0
MARAX SEGMENT,9f55f456-3feb-4c18-beb4-505eb1db3d49,2019-01-23 23:23:21,product_nodiscount_value,Vegetables,Milk,7,4,60.265791416199995,128.0,544.0,500.0,2,0.0
MARAX SEGMENT,9f55f456-3feb-4c18-beb4-505eb1db3d49,2019-01-23 23:23:21,productgroup_discount,Vegetables,Milk,7,4,60.265791416199995,128.0,544.0,500.0,2,0.0
MARAX SEGMENT,9f55f456-3feb-4c18-beb4-505eb1db3d49,2019-01-23 23:23:21,percentage_cashback,Vegetables,Milk,7,4,60.265791416199995,128.0,544.0,500.0,2,0.0
MARAX SEGMENT,9f55f456-3feb-4c18-beb4-505eb1db3d49,2019-01-23 23:23:21,product_discount_value,Vegetables,Milk,7,4,60.265791416199995,128.0,544.0,500.0,2,0.0
MARAX SEGMENT,9f55f456-3feb-4c18-beb4-505eb1db3d49,2019-01-23 23:23:21,product_discount,Vegetables,Milk,7,4,60.265791416199995,128.0,544.0,500.0,2,0.0
MARAX SEGMENT,9f55f456-3feb-4c18-beb4-505eb1db3d49,2019-01-23 23:23:21,product_nodiscount,Vegetables,Milk,7,4,60.265791416199995,128.0,544.0,500.0,2,0.0
MARAX SEGMENT,9f55f456-3feb-4c18-beb4-505eb1db3d49,2019-01-23 23:23:21,product_discount_value_brand,Vegetables,Milk,7,4,60.265791416199995,128.0,544.0,500.0,2,0.0
